Season,AccountNumber,SingleGameTickets,PartialPlanTickets,GroupTickets,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement,SumGamesAttended,TotNumTicketsPurchased,AvgSpend_norm,SocialMediaEngagement_norm,DistanceToArena_norm,BasketballPropensity_norm
2023,1,0,0,0,467.0,0,F,12.0,872.0,Low,1,24,0.1416439187139824,0.33,1.0,0.872
2023,2,2,0,0,116.0,1,A,47.0,485.0,Low,2,4,0.035183500151653016,0.33,0.5,0.485
2023,3,3,0,0,107.0,1,B,6.0,896.0,Low,1,3,0.03245374582954201,0.33,1.0,0.896
2023,4,0,0,3,27.0,1,C,3.0,467.0,High,1,3,0.00818926296633303,1.0,1.0,0.467
2023,5,0,0,2,14.0,1,A,4.0,582.0,Medium,1,2,0.004246284501061571,0.67,1.0,0.582
2023,6,0,0,4,76.0,1,E,178.0,529.0,Low,1,4,0.02305125872004853,0.33,0.0,0.529
2023,7,5,0,0,79.0,0,A,12.0,178.0,Medium,1,5,0.023961176827418867,0.67,1.0,0.178
2023,8,3,0,0,101.0,1,A,9.0,575.0,Low,1,3,0.030633909614801336,0.33,1.0,0.575
2023,9,0,0,2,24.5,1,Limited Data,158.0,683.5054579566774,Medium,1,2,0.0074309978768577496,0.67,0.0,0.6835054579566775
2023,10,0,10,0,183.6,1,C,89.0,949.0,Medium,10,10,0.0556869881710646,0.67,0.0,0.949
2023,11,1,0,0,83.0,1,C,10.0,477.0,Medium,1,1,0.025174400970579314,0.67,1.0,0.477
2023,12,2,0,0,61.0,1,A,13.0,335.0,Medium,1,2,0.018501668183196845,0.67,1.0,0.335
2023,13,6,0,0,75.0,1,B,68.0,433.0,Medium,1,6,0.022747952684258416,0.67,0.0,0.433
2023,14,2,0,0,21.0,1,A,23.0,624.0,Medium,1,2,0.006369426751592357,0.67,0.5,0.624
2023,15,0,0,4,101.0,1,B,6.0,450.0,Medium,1,4,0.030633909614801336,0.67,1.0,0.45
2023,16,3,0,0,135.0,1,A,15.0,808.0,Medium,1,3,0.04094631483166515,0.67,1.0,0.808
2023,17,3,0,0,66.0,1,A,10.0,903.0,High,1,3,0.020018198362147407,1.0,1.0,0.903
2023,18,4,0,0,3.6,3,A,6.0,683.5054579566774,High,5,5,0.001091901728844404,1.0,1.0,0.6835054579566775
2023,19,0,0,2,29.0,0,A,66.0,450.0,Low,1,2,0.008795875037913254,0.33,0.0,0.45
2023,20,5,0,0,36.0,1,A,20.0,846.0,High,1,5,0.01091901728844404,1.0,0.5,0.846
2023,21,2,0,0,64.0,1,A,89.0,549.0,Medium,1,2,0.019411586290567183,0.67,0.0,0.549
2023,22,3,0,0,148.0,1,A,86.0,912.0,High,1,3,0.04488929329693661,1.0,0.0,0.912
2023,23,2,0,0,170.0,1,D,4.0,537.0,Medium,1,2,0.051562026084319076,0.67,1.0,0.537
2023,24,2,0,0,17.0,1,A,6.0,853.0,Medium,1,2,0.005156202608431908,0.67,1.0,0.853
2023,25,3,0,0,41.0,1,A,54.0,898.0,Medium,1,3,0.0124355474673946,0.67,0.0,0.898
2023,26,0,0,5,40.0,1,A,74.0,389.0,High,1,5,0.012132241431604488,1.0,0.0,0.389
2023,27,3,0,0,193.0,1,A,22.0,858.0,Medium,1,3,0.05853806490749166,0.67,0.5,0.858
2023,28,2,0,0,67.0,1,C,4.0,601.0,Medium,1,2,0.02032150439793752,0.67,1.0,0.601
2023,29,0,0,7,53.0,1,B,132.0,827.0,Medium,1,7,0.016075219896875947,0.67,0.0,0.827
2023,30,0,0,2,71.0,1,D,7.0,659.0,High,1,2,0.021534728541097968,1.0,1.0,0.659
2023,31,0,0,0,590.0,0,A,209.0,788.0,Medium,1,4,0.17895056111616622,0.67,0.0,0.788
2023,32,4,0,0,13.0,1,D,22.0,459.0,Low,1,4,0.003942978465271459,0.33,0.5,0.459
