Season,AccountNumber,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement
2023,1,0,0,0,0,$467.00 ,0,F,12,872,Low
2023,2,2,0,0,0,$116.00 ,1,A,47,485,Low
2023,3,3,0,0,0,$107.00 ,1,B,6,896,Low
2023,4,0,0,3,0,$27.00 ,1,C,3,467,High
2023,5,0,0,2,0,$14.00 ,1,A,4,582,Medium
2023,6,0,0,4,0,$76.00 ,1,E,178,529,Low
2023,7,5,0,0,0,$79.00 ,0,A,12,178,Medium
2023,8,3,0,0,0,$101.00 ,1,A,9,575,Low
2023,9,0,0,2,0,$24.50 ,1,Limited Data,158,,Medium
2023,10,0,10,0,0,$183.60 ,1,C,89,949,Medium
2023,11,1,0,0,0,$83.00 ,1,C,10,477,Medium
2023,12,2,0,0,0,$61.00 ,1,A,13,335,Medium
2023,13,6,0,0,0,$75.00 ,1,B,68,433,Medium
2023,14,2,0,0,0,$21.00 ,1,A,23,624,Medium
2023,15,0,0,4,0,$101.00 ,1,B,6,450,Medium
2023,16,3,0,0,0,$135.00 ,1,A,15,808,Medium
2023,17,3,0,0,0,$66.00 ,1,A,10,903,High
2023,18,4,0,0,0,$3.60 ,3,A,6,,High
2023,19,0,0,2,0,$29.00 ,0,A,66,450,Low
2023,20,5,0,0,0,$36.00 ,1,A,20,846,High
2023,21,2,0,0,0,$64.00 ,1,A,89,549,Medium
2023,22,3,0,0,0,$148.00 ,1,A,86,912,High
2023,23,2,0,0,0,$170.00 ,1,D,4,537,Medium
2023,24,2,0,0,0,$17.00 ,1,A,6,853,Medium
2023,25,3,0,0,0,$41.00 ,1,A,54,898,Medium
2023,26,0,0,5,0,$40.00 ,1,A,74,389,High
2023,27,3,0,0,0,$193.00 ,1,A,22,858,Medium
2023,28,2,0,0,0,$67.00 ,1,C,4,601,Medium
2023,29,0,0,7,0,$53.00 ,1,B,132,827,Medium
2023,30,0,0,2,0,$71.00 ,1,D,7,659,High
2023,31,0,0,0,0,$590.00 ,0,A,209,788,Medium
2023,32,4,0,0,0,$13.00 ,1,D,22,459,Low
2023,33,3,0,0,0,$112.53 ,1,A,48,406,Low
